image_id,split,condition,view,d_dark,d_bright,input_clipping_fraction,type,active
46872,evaluation,smooth_gradient,bottom_left,0.020471319556236267,0.006813511252403259,0.008117816410958767,dark,False
46872,evaluation,smooth_gradient,bottom_right,-0.028318271040916443,0.020278751850128174,0.08854962140321732,bright,False
50145,evaluation,clean,full,-0.006809204816818237,0.005206510424613953,0.11988281458616257,bright,False
50145,evaluation,clean,top_left,-0.028989583253860474,-0.01890219748020172,0.15195313096046448,bright,False
50145,evaluation,clean,top_right,-0.00883224606513977,0.018722981214523315,0.17994792759418488,bright,False
50145,evaluation,clean,bottom_left,-0.01006227731704712,0.011018529534339905,0.10028646141290665,bright,False
50145,evaluation,clean,bottom_right,-0.0037605464458465576,0.001913607120513916,0.047343749552965164,bright,False
50145,evaluation,homogeneous_dark,full,0.01939930021762848,0.012412235140800476,0.03854817897081375,dark,False
50145,evaluation,homogeneous_dark,top_left,0.010997310280799866,-0.017518699169158936,0.023880209773778915,dark,False
50145,evaluation,homogeneous_dark,top_right,0.021074652671813965,0.00707051157951355,0.00572916679084301,dark,False
50145,evaluation,homogeneous_dark,bottom_left,0.01829668879508972,0.005565732717514038,0.07914062589406967,dark,False
50145,evaluation,homogeneous_dark,bottom_right,0.0225553959608078,0.0034698843955993652,0.04544270783662796,dark,False
50145,evaluation,homogeneous_bright,full,-0.010100260376930237,0.009269550442695618,0.5179492235183716,bright,False
50145,evaluation,homogeneous_bright,top_left,-0.00957496464252472,0.0007767230272293091,0.7332812547683716,bright,False
50145,evaluation,homogeneous_bright,top_right,-0.010175541043281555,0.015330702066421509,0.80796879529953,bright,False
50145,evaluation,homogeneous_bright,bottom_left,-0.014048904180526733,0.02908247709274292,0.35229167342185974,bright,False
50145,evaluation,homogeneous_bright,bottom_right,-0.019886493682861328,0.013359487056732178,0.17825521528720856,bright,False
50145,evaluation,left_right,full,-0.012967094779014587,-0.0009648799896240234,0.2723112106323242,bright,False
50145,evaluation,left_right,top_left,0.010997310280799866,-0.017518699169158936,0.023880209773778915,dark,False
50145,evaluation,left_right,top_right,-0.010175541043281555,0.015330702066421509,0.80796879529953,bright,False
50145,evaluation,left_right,bottom_left,0.01829668879508972,0.005565732717514038,0.07914062589406967,dark,False
50145,evaluation,left_right,bottom_right,-0.019886493682861328,0.013359487056732178,0.17825521528720856,bright,False
50145,evaluation,quadrants,full,-0.0065609365701675415,0.0024992674589157104,0.3073958456516266,bright,False
50145,evaluation,quadrants,top_left,0.010997310280799866,-0.017518699169158936,0.023880209773778915,dark,False
50145,evaluation,quadrants,top_right,-0.010175541043281555,0.015330702066421509,0.80796879529953,bright,False
50145,evaluation,quadrants,bottom_left,-0.014048904180526733,0.02908247709274292,0.35229167342185974,bright,False
50145,evaluation,quadrants,bottom_right,0.0225553959608078,0.0034698843955993652,0.04544270783662796,dark,False
50145,evaluation,smooth_gradient,full,-0.0048322975635528564,0.005454301834106445,0.23455078899860382,bright,False
50145,evaluation,smooth_gradient,top_left,-0.00013941526412963867,-0.020579352974891663,0.023880209773778915,dark,False
50145,evaluation,smooth_gradient,top_right,-0.013293176889419556,0.011654749512672424,0.7571354508399963,bright,False
50145,evaluation,smooth_gradient,bottom_left,0.011219650506973267,0.007686972618103027,0.07914062589406967,dark,False
